"Index","XStart","YStart","Angle","Major","Minor","SineRad"
1592,75,313,177.77126,8.573282,5.3464494,0.0388890421373908
1592,75,325,2.1228054,9.86002,5.1652617,0.0370414677916396
1592,72,338,165.4727,6.839984,4.653664,0.250841273651693
1592,72,350,171.17139,7.2105947,4.767633,0.153479277865156
1592,72,362,175.28442,7.042245,5.0624065,0.0822095135253221
1592,71,374,172.14568,7.706834,5.121484,0.136654802522404
1592,72,386,173.95262,6.7158594,4.9292617,0.105350834386534
1592,72,398,165.46236,6.568233,4.6523547,0.251015966759939
1592,72,410,174.88939,7.6346006,4.8363953,0.0890787416616032
1592,73,422,0,6.1868825,4.939119,0
1592,71,434,168.21689,8.09365,5.191342,0.204207486450347
1591,72,314,176.25072,7.8136888,5.051446,0.0653905897599297
1591,74,325,2.6218126,8.808071,5.926703,0.0457432946153544
1591,73,338,9.556487,6.014977,4.868599,0.166019888819424
1591,73,350,0.036917362,7.3439617,4.8544245,0.000644329473467276
1591,73,362,177.62827,6.721565,5.114504,0.0413826768720362
1591,72,374,175.81407,7.441811,4.9616885,0.0729932865740654
1591,72,386,168.49503,7.2554827,4.211677,0.199452935142247
1591,73,398,175.43793,7.158885,4.446361,0.0795390358116143
1591,72,410,171.17706,8.263023,4.9308424,0.153381489438496
1591,73,422,0,5.5818048,4.562107,0
1591,72,434,176.40039,7.1387067,4.815644,0.0627837261754099
1590,72,314,176.99176,8.491796,4.648066,0.0524795737379485
1590,75,325,178.09264,9.1708975,5.5533915,0.0332835637243842
1590,73,338,169.11942,6.1369348,4.564375,0.188762604160639
1590,72,350,169.5346,6.8106775,4.8606367,0.181641720470686
1590,72,362,169.12349,7.5166917,4.91226,0.188692845796145
1590,71,374,165.26057,8.3316965,4.7373815,0.254423541980219
1590,72,386,173.83636,7.3013415,4.708377,0.107368444093929
1590,72,398,178.07698,6.744973,4.7192163,0.0335567296061519
1590,72,410,174.74475,7.790137,5.0667176,0.0915928636712925
1590,73,422,174.46567,6.4901195,4.708349,0.0964421483452448
1590,71,434,176.0135,7.13777,5.1730366,0.0695214263180983
1589,75,313,179.48187,8.271835,5.0795145,0.00904295120098435
1589,74,325,2.0365593,9.36921,5.9794307,0.0355371810106616
1589,74,338,2.0362196,6.2657857,4.267307,0.0355312558715182
1589,72,350,174.3973,6.773133,4.88758,0.0976297986371094
1589,72,362,172.64752,7.4411974,4.790991,0.12797307968905
1589,71,374,165.49725,7.7998853,4.897147,0.250426471516945
1589,72,386,170.13695,6.8467264,4.835045,0.171293768395649
1589,73,398,178.42975,6.9516935,4.5788827,0.0274026019726031
1589,79,400,0,1.1283792,1.1283792,0
1589,71,410,169.21645,9.090484,5.042265,0.18709928565302
1589,74,421,139.78952,7.011496,5.6293874,0.645597383243653
1589,74,433,176.6748,7.9790673,5.425464,0.0580031150420543
1588,72,314,179.67578,9.191159,4.848505,0.00565867630132943
1588,74,325,2.6618023,8.9925995,5.5219116,0.0464405047522132
1588,73,338,173.22841,6.2095966,4.7160087,0.117911593769495
1588,72,350,174.49966,6.9032664,4.611004,0.0958516593184842
1588,72,362,167.42616,7.606306,4.6869936,0.217697636422095
1588,72,374,179.03198,7.2105045,4.944274,0.016894332462832
1588,72,386,176.88924,6.7726307,5.07594,0.0542663346480168
1588,71,398,166.4216,7.934335,4.493219,0.234775675737121
1588,72,410,174.91008,9.131431,4.7407846,0.0887190627952074
1588,74,422,16.542427,6.2755013,4.4635906,0.284725264004998
1588,74,433,7.1168733,7.1685967,5.506018,0.12389370781395
1587,72,314,179.46844,8.808299,4.7701497,0.00927733908483193
1587,74,325,175.18056,8.876172,5.594342,0.0840159405711362
1587,73,338,177.79596,6.0186367,4.654089,0.0384582683210899
1587,73,350,179.44702,6.816834,4.669468,0.00965117186480693
1587,72,362,168.96487,7.580974,4.7026553,0.191410828637756
1587,72,374,175.84773,7.2131963,5.295459,0.0724073633224448
1587,72,386,165.98158,7.1544666,4.9830003,0.242233823124011
1587,72,398,173.70705,7.312618,4.8752317,0.109612007626924
1587,72,410,175.9553,9.56231,5.059771,0.0705347141762264
1587,74,421,116.56505,5.8802524,5.846257,0.894427200187421
1587,72,434,166.16718,8.045606,5.222342,0.239089700698008
1586,72,314,173.95543,8.215793,4.959189,0.105302063430621
1586,75,325,177.2906,9.107075,5.172887,0.0472703288964682
1586,73,338,165.69476,6.3001122,4.85035,0.247087633268349
1586,74,349,165.08006,7.209191,5.651628,0.257469094477603
1586,72,362,172.64752,7.4411974,4.790991,0.12797307968905
1586,72,374,177.55756,8.371637,4.8668694,0.0426157101729638
1586,72,386,175.28442,7.042245,5.0624065,0.0822095135253221
1586,71,398,171.39005,7.682564,4.9719324,0.149707048878788
1586,71,410,172.06354,8.783102,5.3636928,0.13807482593663
1586,73,422,145.95877,7.3791504,5.003821,0.559789333453698
1586,74,433,176.23268,8.044259,5.5397744,0.0657047700354383
1585,75,313,6.3465333,9.563475,5.059155,0.110541529442425
1585,75,325,1.4368057,7.9578876,5.599901,0.0250743619587953
1585,72,338,154.04614,6.4316254,4.1572742,0.437647210448694
1585,72,350,167.02356,7.640337,4.49947,0.224550374783837
1585,71,362,176.47136,8.203785,4.9664474,0.0615474618410396
1585,72,374,171.18622,7.882767,4.6841354,0.15322350707881
1585,73,386,0.036917362,7.3439617,4.8544245,0.000644329473467276
1585,71,398,162.52266,8.038983,4.909878,0.300328588945959
1585,72,410,176.9407,9.764303,4.824703,0.0533694898696767
1585,72,422,173.39888,7.025583,5.074413,0.114956568611421
1585,77,429,0,1.1283792,1.1283792,0
1585,74,433,176.91492,7.5234623,6.2617264,0.0538187890853992
1584,75,313,1.0497909,8.557367,4.910027,0.0183212825253203
1584,74,325,173.53098,8.303685,5.366699,0.11266596996072
1584,73,338,164.56894,6.0539103,4.6269712,0.26607871385218
1584,72,350,172.68022,7.120317,4.828081,0.127407028898561
1584,72,362,178.95993,8.518037,4.9326982,0.0181516490286991
1584,72,374,170.73509,9.020243,4.7992215,0.160999404832529
1584,71,386,167.63063,8.427066,5.1370363,0.214213173025521
1584,72,398,173.51395,7.629487,4.839637,0.112961302066691
1584,72,410,172.524,8.22475,4.953788,0.130110885328767
1584,78,415,0,1.1283792,1.1283792,0
1584,74,421,145.34572,6.518275,5.664681,0.568623300470257
1584,71,434,155.519,8.543308,6.2594094,0.414391465275901
1583,74,313,7.0181217,8.185571,5.2885923,0.122183263107375
1583,72,326,1.9869843e-14,7.923209,4.8209233,3.46794182204348e-16
1583,74,338,176.87904,7.0623813,3.9662642,0.0544440950525564
1583,72,350,169.81807,6.7746563,4.6985393,0.176774334926908
1583,72,362,177.33482,8.032292,4.9139676,0.0464993930518339
1583,74,373,167.40529,7.6862245,5.4665203,0.21805313610468
1583,72,386,173.83636,7.3013415,4.708377,0.107368444093929
1583,72,398,0.32052246,8.870461,5.0237956,0.00559414307558815
1583,71,410,174.88396,9.513152,5.085917,0.0891731358844341
1583,74,421,164.74489,6.670179,5.5356755,0.263117259247363
1583,77,428,0,2.2567585,1.1283792,0
1583,71,434,162.54364,8.043372,6.0152764,0.299979302690243
1582,75,313,6.9243064,9.572268,5.1875215,0.12055798219191
1582,72,326,5.1392527,8.147345,5.000852,0.0895766525852712
1582,72,338,166.30031,6.704809,4.747486,0.236832889475545
1582,72,350,172.22171,7.014422,3.9933825,0.135340157464937
1582,72,362,167.04675,8.006221,5.089001,0.224155950650895
1582,75,373,168.98445,8.22443,5.108792,0.191075400686223
1582,73,386,178.38464,7.3938055,4.477292,0.0281896157687628
1582,71,398,179.33853,9.342476,4.906261,0.0115445729497944
1582,71,410,168.62582,9.276392,4.9412127,0.197215566988122
1582,72,422,144.14607,8.01064,4.92725,0.585720834488298
1582,72,434,172.32942,8.492347,5.547332,0.133477321820822
1581,72,314,6.8188376,9.317458,4.6461325,0.118730427257168
1581,72,326,172.30544,7.2796144,5.0722394,0.133892095011521
1581,72,338,175.309,7.792545,4.738368,0.0817819561851734
1581,72,350,169.34818,7.8405,4.222209,0.184840271098801
1581,72,362,167.84895,7.192414,4.95671,0.210489675240527
1581,72,374,173.7621,9.312938,4.6483874,0.108656942797614
1581,72,386,165.98158,7.1544666,4.9830003,0.242233823124011
1581,78,394,0,1.1283792,1.1283792,0
1581,72,398,176.74449,9.168578,4.721576,0.0567888002736109
1581,72,410,173.39215,9.220994,4.694737,0.115073249773538
1581,72,422,164.9606,6.8405976,4.8393764,0.259483212143882
1581,79,427,0,1.1283792,1.1283792,0
1581,73,434,175.60194,7.312778,5.223348,0.0766852684873632
1580,75,313,10.367205,9.208712,5.115793,0.179956138355795
1580,73,326,0.43402573,6.994646,4.914826,0.00757510557893296
1580,71,338,165.81584,8.219651,4.801959,0.245039363497511
